Slider,x,first,second
1990,'Japan',2604.458951,0.0
1990,'Korea',0.0,1095.572646
1990,'Kuwait',0.0,0.001568
1990,'Latvia',0.0,0.54306
1990,'Liechtenstein',0.299897,0.0
1990,'Netherlands',207.9802,0.0
1990,'Norway',22.442656,0.0
1990,'Poland',0.0,3069.497876
1990,'Romania',0.0,0.299897
1990,'South Africa',0.0,271.828896
1990,'Spain',33.91295,0.0
1990,'Sweden',400.387605,0.0
1990,'Switzerland',123.834846,0.0
1990,'Thailand',0.0,1790.643316
1990,'United Kingdom',270.402953,0.0
1990,'United States',1722.305682,0.0
1991,'Australia',518.306838,0.0
1991,'Austria',43.662774,0.0
1991,'Brazil',0.0,1398.521154
1991,'Canada',79.132048,0.0
1991,'Chile',0.0,575.85975
1991,'Colombia',0.0,484.986642
1991,'Cyprus',0.0,24.108788
1991,'Czech Republic',0.0,392.264026
1991,'Denmark',80.582842,0.0
1991,'Estonia',0.0,0.990684
1991,'Finland',30.659992,0.0
1991,'France',75.995551,0.0
1991,'Germany',323.668836,0.0
1991,'Greece',0.0,303.412067
1991,'Hungary',0.0,624.227866
1991,'India',0.0,3660.869551
1991,'Ireland',0.0,6.065209
1991,'Italy',138.712028,0.0
1991,'Japan',4702.296751,0.0
1991,'Korea',0.0,39.850875
1991,'Kuwait',0.0,10.244282
1991,'Latvia',0.0,0.398476
1991,'Lithuania',0.0,0.455029
1991,'Netherlands',233.871628,0.0
1991,'Norway',58.788041,0.0
1991,'Poland',0.0,326.279481
1991,'Romania',0.0,2.904763
1991,'Saudi Arabia',0.0,89.458009
1991,'South Africa',0.0,64.650922
1991,'Spain',134.87373,0.0
1991,'Sweden',173.278658,0.0
1991,'Switzerland',157.754122,0.0
1991,'Taiwan',0.0,5.446049
1991,'Thailand',0.0,1898.189675
1991,'United Kingdom',270.595943,0.0
1991,'United States',2887.003516,0.0
1992,'Australia',57.379649,193.553716
1992,'Austria',7.690278,0.0
1992,'Belgium',470.688315,0.0
1992,'Brazil',0.0,269.771857
1992,'Canada',203.523019,0.0
1992,'Chile',0.0,686.092378
1992,'Colombia',0.0,492.185858
1992,'Cyprus',0.0,29.261936
1992,'Czech Republic',0.0,212.986243
1992,'Denmark',40.778102,0.0
1992,'Estonia',0.0,16.023398
1992,'Finland',69.776266,0.0
1992,'France',220.827059,0.0
1992,'Germany',8552.232648,0.0
1992,'Hungary',0.0,179.864578
1992,'India',0.0,5341.953099
1992,'Italy',170.049742,0.0
1992,'Japan',2865.776832,0.0
1992,'Korea',0.0,3.337566
1992,'Kuwait',6.635123,7406.838194
1992,'Latvia',0.0,106.443347
1992,'Lithuania',0.0,8.257205
1992,'Netherlands',269.752132,0.0
1992,'Norway',40.11776,62.668301
1992,'Poland',0.0,9141.850218
1992,'Romania',0.0,174.75662
1992,'Saudi Arabia',0.0,148.479604
1992,'Slovenia',0.0,10.62491
1992,'South Africa',0.0,234.490451
1992,'Sweden',272.478628,0.0
1992,'Switzerland',31.332667,0.0
1992,'Thailand',0.0,1014.335727
1992,'United Kingdom',1055.458482,0.0
1992,'United States',11399.278504,0.0
1993,'Australia',37.557879,79.262311
1993,'Austria',8.599286,132.570772
1993,'Belgium',75.567601,0.0
1993,'Brazil',0.0,726.672442
1993,'Canada',129.123101,83.925439
1993,'Chile',0.0,246.885634
1993,'Colombia',0.0,648.542403
1993,'Cyprus',0.0,42.046495
1993,'Czech Republic',0.0,170.159661
1993,'Denmark',67.06286,0.0
1993,'Estonia',0.0,38.33784
1993,'Finland',15.643128,0.0
1993,'France',246.959806,0.0
1993,'Germany',450.749201,0.0
1993,'Hungary',0.0,322.532354
1993,'India',0.0,1327.287513
1993,'Italy',124.373956,277.419753
1993,'Japan',2494.054534,0.0
1993,'Korea',0.0,3.157283
1993,'Kuwait',25.46123,0.0
1993,'Latvia',0.0,52.648796
1993,'Liechtenstein',0.124845,0.0
1993,'Lithuania',0.0,73.709134
1993,'Luxembourg',0.0,415.719806
1993,'Netherlands',213.7,0.0
1993,'Norway',72.847215,67.085688
1993,'Poland',0.0,367.250867
1993,'Qatar',0.0,9.564499
1993,'Romania',0.0,92.433527
1993,'Slovak Republic',0.0,9.121048
1993,'Slovenia',0.0,2.60952
1993,'South Africa',0.0,541.955585
1993,'Spain',36.693281,0.0
1993,'Sweden',117.438835,0.0
1993,'Switzerland',43.709522,0.0
1993,'Thailand',0.0,3338.548445
1993,'United Kingdom',407.941751,0.0
1993,'United States',4501.838784,0.0
1994,'Australia',62.005978,321.233163
1994,'Austria',0.496076,0.0
1994,'Belgium',26.867841,0.0
1994,'Brazil',0.0,2807.702721
1994,'Canada',83.43599,0.0
1994,'Chile',0.0,98.616016
1994,'Colombia',0.0,303.016912
1994,'Cyprus',0.0,46.104382
1994,'Czech Republic',0.0,487.593167
1994,'Denmark',110.63737,0.0
1994,'Estonia',0.0,25.652518
1994,'Finland',30.027227,0.0
1994,'France',242.597753,0.0
1994,'Germany',380.199578,0.0
1994,'Hungary',0.0,393.976481
1994,'India',0.0,4096.778597
1994,'Italy',25.80654,524.992994
1994,'Japan',2667.081144,0.0
1994,'Korea',0.0,1076.359694
1994,'Kuwait',0.0,6.860796
1994,'Latvia',0.0,28.380386
1994,'Liechtenstein',0.086232,0.0
1994,'Lithuania',0.0,28.739967
1994,'Netherlands',269.718206,0.0
1994,'Norway',126.824955,0.0
1994,'Poland',0.0,431.842731
1994,'Qatar',0.0,1.252342
1994,'Romania',0.0,47.195859
1994,'Saudi Arabia',0.0,5.682814
1994,'Slovak Republic',0.0,52.553361
1994,'Slovenia',0.0,12.375582
1994,'South Africa',0.0,516.230795
1994,'Spain',6.797785,0.0
1994,'Sweden',171.45049,0.0
1994,'Switzerland',40.39594,0.0
1994,'Taiwan',45.628882,2.655902
1994,'Thailand',0.0,1416.098158
1994,'United Arab Emirates',0.0,9.485289
1994,'United Kingdom',297.003626,0.0
1994,'United States',8154.319014,0.0
1995,'Australia',87.263724,343.759453
1995,'Austria',2.349112,0.0
1995,'Belgium',45.999593,0.0
1995,'Brazil',0.0,2573.830958
1995,'Canada',140.853583,0.0
1995,'Chile',0.0,326.285394
1995,'Colombia',0.0,586.866583
1995,'Cyprus',0.0,1.233692
1995,'Czech Republic',0.0,182.015721
1995,'Denmark',73.451287,0.0
1995,'Estonia',0.0,18.418713
1995,'Finland',20.700602,0.0
1995,'France',184.288339,0.0
1995,'Germany',3308.855279,0.0
1995,'Hungary',0.0,330.369147
1995,'India',0.0,2704.173002
1995,'Italy',1397.467126,0.0
1995,'Japan',2880.751774,0.0
1995,'Korea',0.0,3.947605
1995,'Kuwait',0.0,302.540263
1995,'Latvia',0.0,39.0089
1995,'Lithuania',0.0,83.881095
1995,'Netherlands',284.400704,0.0
1995,'New Zealand',1.551034,0.0
1995,'Norway',73.931976,0.0
1995,'Poland',0.0,3376.022477
1995,'Qatar',0.0,0.34643
1995,'Romania',0.0,189.810215
1995,'Saudi Arabia',0.0,7.397882
1995,'Slovak Republic',0.0,75.586685
1995,'Slovenia',0.0,7.405043
1995,'South Africa',0.0,626.257607
1995,'Spain',24.737384,0.0
1995,'Sweden',233.739645,0.0
1995,'Switzerland',37.875588,0.0
1995,'Taiwan',0.0,2.561779
1995,'Thailand',0.0,792.655526
1995,'United Arab Emirates',0.0,1.579978
1995,'United Kingdom',385.163028,0.0
1995,'United States',3392.57437,0.0
1996,'Australia',80.468022,0.0
1996,'Austria',31.48581,0.056293
1996,'Belgium',25.987887,0.0
1996,'Brazil',0.0,1902.899155
1996,'Canada',240.599471,0.0
1996,'Chile',0.0,66.19593
1996,'Colombia',0.0,1052.281529
1996,'Cyprus',0.0,17.809922
1996,'Czech Republic',4.724939,35.124917
1996,'Denmark',244.01386,0.0
1996,'Estonia',0.0,30.94297
1996,'Finland',20.289146,0.0
1996,'France',310.518112,0.0
1996,'Germany',474.37818,0.0
1996,'Hungary',0.0,349.275403
1996,'India',0.0,4151.165519
1996,'Italy',26.143275,0.0
1996,'Japan',3905.453074,0.0
1996,'Korea',0.0,369.583888
1996,'Kuwait',21.381183,0.612124
1996,'Latvia',0.0,25.04488
1996,'Liechtenstein',0.141858,0.0
1996,'Lithuania',0.0,89.02673
1996,'Netherlands',328.972856,0.0
1996,'Norway',66.497399,0.0
1996,'Poland',0.0,359.200576
1996,'Portugal',0.331133,0.0
1996,'Qatar',0.0,0.836714
1996,'Romania',0.0,240.362515
1996,'Saudi Arabia',0.0,2.409008
1996,'Slovak Republic',0.0,120.767538
1996,'Slovenia',0.0,90.121406
1996,'South Africa',0.0,974.078843
1996,'Spain',41.88727,0.0
1996,'Sweden',142.391886,0.0
1996,'Switzerland',63.515858,0.0
1996,'Taiwan',0.0,9.333721
1996,'Thailand',0.0,1671.334558
1996,'United Arab Emirates',0.0,1.038083
1996,'United Kingdom',934.520515,0.0
1996,'United States',4595.800488,0.0
1997,'Australia',99.085271,0.0
1997,'Austria',18.810672,0.0
1997,'Belgium',35.402467,0.0
1997,'Brazil',0.0,2033.092975
1997,'Canada',114.731583,0.0
1997,'Chile',0.0,180.051006
1997,'Colombia',0.0,94.226174
1997,'Cyprus',0.0,9.602634
1997,'Czech Republic',1.1516,99.553819
1997,'Denmark',79.381953,0.0
1997,'Estonia',0.0,8.307811
1997,'Finland',28.181494,0.0
1997,'France',181.377579,0.0
1997,'Germany',782.428714,0.0
1997,'Hungary',0.0,53.047029
1997,'India',0.0,4794.906726
1997,'Italy',11.342151,0.0
1997,'Japan',10777.668538,0.0
1997,'Korea',0.0,1019.452888
1997,'Kuwait',0.0,0.530951
1997,'Latvia',0.0,22.485213
1997,'Liechtenstein',0.104054,0.0
1997,'Lithuania',0.0,20.43539
1997,'Netherlands',166.66984,0.0
1997,'Norway',71.99819,0.0
1997,'Poland',0.0,309.290589
1997,'Portugal',0.344667,0.0
1997,'Qatar',0.0,705.173409
1997,'Romania',0.0,168.02813
1997,'Saudi Arabia',0.0,2.120366
1997,'Slovak Republic',0.0,219.387257
1997,'Slovenia',0.0,7.858148
1997,'South Africa',0.0,694.29077
1997,'Spain',61.562728,0.0
1997,'Sweden',126.68684,0.0
1997,'Switzerland',101.719058,0.0
1997,'Taiwan',0.0,2.454079
1997,'Thailand',0.0,6371.021429
1997,'United Arab Emirates',0.0,1.002901
1997,'United Kingdom',734.365792,0.0
1997,'United States',3423.306503,0.0
1998,'Australia',60.046657,133.17698
1998,'Austria',17.433736,0.0
1998,'Belgium',25.11669,0.0
1998,'Brazil',0.0,1758.37421
1998,'Canada',385.748294,0.0
1998,'Chile',0.0,279.286896
1998,'Colombia',0.0,407.763235
1998,'Cyprus',0.0,0.563689
1998,'Czech Republic',0.0,120.505911
1998,'Denmark',15.650457,0.0
